"GEOD_TRF_CODE","GEOD_TRF_EPSG_NAME","GEOD_TRF_USER_NAME","DESCRIPTION","SOURCE_HORIZCS_CODE","TARGET_HORIZCS_CODE","COORD_TRF_VARIANT","COORD_TRF_PATH_CODE","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","REMARKS","CHANGE_ID"
8000,Adindan to WGS 84 (1),,,4201,4326,1,8400,1996-10-18 00:00:00,,EPSG,,
8001,Adindan to WGS 84 (2),,,4201,4326,2,8401,1996-10-18 00:00:00,,EPSG,,
8002,Adindan to WGS 84 (3),,,4201,4326,3,8402,1996-10-18 00:00:00,,EPSG,,
8003,Adindan to WGS 84 (4),,,4201,4326,4,8403,1996-10-18 00:00:00,,EPSG,,
8004,Adindan to WGS 84 (5),,,4201,4326,5,8404,1996-10-18 00:00:00,,EPSG,,
8005,Adindan to WGS 84 (6),,,4201,4326,6,8405,1996-10-18 00:00:00,,EPSG,,
8006,Adindan to WGS 84 (7),,,4201,4326,7,8406,1996-10-18 00:00:00,,EPSG,,
8007,Afgooye to WGS 84 (1),,,4205,4326,1,8407,1996-10-18 00:00:00,,EPSG,,
8008,AGD66 to WGS 84 (1),,,4202,4326,1,8408,1996-10-18 00:00:00,,EPSG,,
8009,AGD84 to WGS 84 (1),,,4203,4326,1,8409,1996-10-18 00:00:00,,EPSG,,
8010,Ain el Abd to WGS 84 (1),,,4204,4326,1,8410,1996-10-18 00:00:00,,EPSG,,
8011,Ain el Abd to WGS 84 (2),,,4204,4326,2,8411,1996-10-18 00:00:00,,EPSG,,
8012,Amersfoort to WGS 84 (1),,,4289,4326,1,8412,1996-10-18 00:00:00,,EPSG,,
8013,Arc 1950 to WGS 84 (1),,,4209,4326,1,8413,1996-10-18 00:00:00,,EPSG,,
8014,Arc 1950 to WGS 84 (2),,,4209,4326,2,8414,1996-10-18 00:00:00,,EPSG,,
8015,Arc 1950 to WGS 84 (3),,,4209,4326,3,8415,1996-10-18 00:00:00,,EPSG,,
8016,Arc 1950 to WGS 84 (4),,,4209,4326,4,8416,1996-10-18 00:00:00,,EPSG,,
8017,Arc 1950 to WGS 84 (5),,,4209,4326,5,8417,1996-10-18 00:00:00,,EPSG,,
8018,Arc 1950 to WGS 84 (6),,,4209,4326,6,8418,1996-10-18 00:00:00,,EPSG,,
8019,Arc 1950 to WGS 84 (7),,,4209,4326,7,8419,1996-10-18 00:00:00,,EPSG,,
8020,Arc 1950 to WGS 84 (8),,,4209,4326,8,8420,1996-10-18 00:00:00,,EPSG,,
8021,Arc 1950 to WGS 84 (9),,,4209,4326,9,8421,1996-10-18 00:00:00,,EPSG,,
8022,Arc 1960 to WGS 84 (1),,,4210,4326,1,8422,1996-10-18 00:00:00,,EPSG,,
8023,Batavia to WGS 84 (1),,,4211,4326,1,8423,1996-10-18 00:00:00,,EPSG,,
8024,Bermuda 1957 to WGS 84 (1),,,4216,4326,1,8424,1996-10-18 00:00:00,,EPSG,,
8025,Bogota to WGS 84 (1),,,4218,4326,1,8425,1996-10-18 00:00:00,,EPSG,,
8026,Bukit Rimpah to WGS 84 (1),,,4219,4326,1,8426,1996-10-18 00:00:00,,EPSG,,
8027,Campo Inchauspe to WGS 84 (1),,,4221,4326,1,8427,1996-10-18 00:00:00,,EPSG,,
8028,Cape to WGS 84 (1),,,4222,4326,1,8428,1996-10-18 00:00:00,,EPSG,,
8029,Cape to WGS 84 (2),,,4222,4326,2,8429,1996-10-18 00:00:00,,EPSG,,
8030,Carthage to WGS 84 (1),,,4223,4326,1,8430,1996-10-18 00:00:00,,EPSG,,
8031,Chua to WGS 84 (1),,,4224,4326,1,8431,1996-10-18 00:00:00,,EPSG,,
8032,Corrego Alegre to WGS 84 (1),,,4225,4326,1,8432,1996-10-18 00:00:00,,EPSG,,
8033,ED50 to WGS 84 (1),,,4230,4326,1,8433,1996-10-18 00:00:00,,EPSG,,
8034,ED50 to WGS 84 (2),,,4230,4326,2,8434,1996-10-18 00:00:00,,EPSG,,
8035,ED50 to WGS 84 (3),,,4230,4326,3,8435,1996-10-18 00:00:00,,EPSG,,
8036,ED50 to WGS 84 (4),,,4230,4326,4,8436,1996-10-18 00:00:00,,EPSG,,
8037,ED50 to WGS 84 (5),,,4230,4326,5,8437,1996-10-18 00:00:00,,EPSG,,
8038,ED50 to WGS 84 (6),,,4230,4326,6,8438,1996-10-18 00:00:00,,EPSG,,
8039,ED50 to WGS 84 (7),,,4230,4326,7,8439,1996-10-18 00:00:00,,EPSG,,
8040,ED50 to WGS 84 (8),,,4230,4326,8,8440,1996-10-18 00:00:00,,EPSG,,
8041,ED50 to WGS 84 (9),,,4230,4326,9,8441,1996-10-18 00:00:00,,EPSG,,
8042,ED50 to WGS 84 (10),,,4230,4326,10,8442,1996-10-18 00:00:00,,EPSG,,
8043,ED50 to WGS 84 (11),,,4230,4326,11,8443,1996-10-18 00:00:00,,EPSG,,
8044,ED50 to WGS 84 (12),,,4230,4326,12,8444,1996-10-18 00:00:00,,EPSG,,
8045,ED50 to WGS 84 (13),,,4230,4326,13,8445,1996-10-18 00:00:00,,EPSG,,
8046,ED50 to WGS 84 (14),,,4230,4326,14,8446,1996-10-18 00:00:00,,EPSG,,
8047,ED50 to WGS 84 (15),,,4230,4326,15,8447,1996-10-18 00:00:00,,EPSG,,
8048,Egypt 1907 to WGS 84 (1),,,4229,4326,1,8448,1996-10-18 00:00:00,,EPSG,,
8049,ETRS89 to WGS 84 (1),,,4258,4326,1,8449,1997-06-19 00:00:00,,EPSG,,97.24
8050,GDA94 to WGS 84 (1),,,4283,4326,1,8450,1996-10-18 00:00:00,,EPSG,,
8051,GD49 to WGS 84 (1),,,4272,4326,1,8451,1996-10-18 00:00:00,,EPSG,,
8052,Hu Tzu Shan to WGS 84 (1),,,4236,4326,1,8452,1996-10-18 00:00:00,,EPSG,,
8053,Indian 1954 to WGS 84 (1),,,4239,4326,1,8453,1996-10-18 00:00:00,,EPSG,,
8054,Indian 1975 to WGS 84 (1),,,4240,4326,1,8454,1996-10-18 00:00:00,,EPSG,,
8055,Kalianpur to WGS 84 (1),,,4243,4326,1,8455,1996-10-18 00:00:00,,EPSG,,
8056,Kalianpur to WGS 84 (2),,,4243,4326,2,8456,1996-10-18 00:00:00,,EPSG,,
8057,Kandawala to WGS 84 (1),,,4244,4326,1,8457,1996-10-18 00:00:00,,EPSG,,
8058,Kertau to WGS 84 (1),,,4245,4326,1,8458,1996-10-18 00:00:00,,EPSG,,
8059,Leigon to WGS 84 (1),,,4250,4326,1,8459,1996-10-18 00:00:00,,EPSG,,
8060,Liberia 1964 to WGS 84 (1),,,4251,4326,1,8460,1996-10-18 00:00:00,,EPSG,,
8061,Luzon 1911 to WGS 84 (1),,,4253,4326,1,8461,1996-10-18 00:00:00,,EPSG,,
8062,Luzon 1911 to WGS 84 (2),,,4253,4326,2,8462,1996-10-18 00:00:00,,EPSG,,
8063,M'poraloko to WGS 84 (1),,,4266,4326,1,8463,1996-10-18 00:00:00,,EPSG,,
8064,Mahe 1971 to WGS 84 (1),,,4256,4326,1,8464,1996-10-18 00:00:00,,EPSG,,
8065,Massawa to WGS 84 (1),,,4262,4326,1,8465,1996-10-18 00:00:00,,EPSG,,
8066,Merchich to WGS 84 (1),,,4261,4326,1,8466,1996-10-18 00:00:00,,EPSG,,
8067,Minna to WGS 84 (1),,,4263,4326,1,8467,1996-10-18 00:00:00,,EPSG,,
8068,Minna to WGS 84 (2),,,4263,4326,2,8468,1996-10-18 00:00:00,,EPSG,,
8069,Monte Mario to WGS 84 (1),,,4265,4326,1,8469,1996-10-18 00:00:00,,EPSG,,
8070,NAD27 to WGS 84 (1),,,4267,4326,1,8470,1996-10-18 00:00:00,,EPSG,,
8071,NAD27 to WGS 84 (2),,,4267,4326,2,8471,1996-10-18 00:00:00,,EPSG,,
8072,NAD27 to WGS 84 (3),,,4267,4326,3,8472,1996-10-18 00:00:00,,EPSG,,
8073,NAD27 to WGS 84 (4),,,4267,4326,4,8473,1996-10-18 00:00:00,,EPSG,,
8074,NAD27 to WGS 84 (5),,,4267,4326,5,8474,1996-10-18 00:00:00,,EPSG,,
8075,NAD27 to WGS 84 (6),,,4267,4326,6,8475,1996-10-18 00:00:00,,EPSG,,
8076,NAD27 to WGS 84 (7),,,4267,4326,7,8476,1996-10-18 00:00:00,,EPSG,,
8077,NAD27 to WGS 84 (8),,,4267,4326,8,8477,1996-10-18 00:00:00,,EPSG,,
8078,NAD27 to WGS 84 (9),,,4267,4326,9,8478,1996-10-18 00:00:00,,EPSG,,
8079,NAD27 to WGS 84 (10),,,4267,4326,10,8479,1996-10-18 00:00:00,,EPSG,,
8080,NAD27 to WGS 84 (11),,,4267,4326,11,8480,1996-10-18 00:00:00,,EPSG,,
8081,NAD27 to WGS 84 (12),,,4267,4326,12,8481,1996-10-18 00:00:00,,EPSG,,
8082,NAD27 to WGS 84 (13),,,4267,4326,13,8482,1996-10-18 00:00:00,,EPSG,,
8083,NAD27 to WGS 84 (14),,,4267,4326,14,8483,1996-10-18 00:00:00,,EPSG,,
8084,NAD27 to WGS 84 (15),,,4267,4326,15,8484,1996-10-18 00:00:00,,EPSG,,
8085,NAD27 to WGS 84 (16),,,4267,4326,16,8485,1996-10-18 00:00:00,,EPSG,,
8086,NAD27 to WGS 84 (17),,,4267,4326,17,8486,1996-10-18 00:00:00,,EPSG,,
8087,NAD27 to WGS 84 (18),,,4267,4326,18,8487,1996-10-18 00:00:00,,EPSG,,
8088,NAD83 to WGS 84 (1),,,4269,4326,1,8488,1996-10-18 00:00:00,,EPSG,,
8089,Nahrwan 1967 to WGS 84 (1),,,4270,4326,1,8489,1996-10-18 00:00:00,,EPSG,,
8090,Nahrwan 1967 to WGS 84 (2),,,4270,4326,2,8490,1996-10-18 00:00:00,,EPSG,,
8091,Nahrwan 1967 to WGS 84 (3),,,4270,4326,3,8491,1996-10-18 00:00:00,,EPSG,,
8092,Naparima 1972 to WGS 84 (1),,,4271,4326,1,8492,1998-06-30 00:00:00,,EPSG,CAUTION: EPSG believes that these parameter values include a blunder and that if NIMA transformation parameters are to be used the 1987 version (EPSG code 8229) be used.,98.102
8093,NTF to WGS 84 (1),,,4275,4326,1,8493,1996-10-18 00:00:00,,EPSG,,
8094,NTF (Paris) to WGS 84 (1),,,4807,4326,1,8494,1996-10-18 00:00:00,,EPSG,,
8095,OSGB 1936 to WGS 84 (1),,,4277,4326,1,8495,1996-10-18 00:00:00,,EPSG,,
8096,OSGB 1936 to WGS 84 (2),,,4277,4326,2,8496,1996-10-18 00:00:00,,EPSG,,
8097,OSGB 1936 to WGS 84 (3),,,4277,4326,3,8497,1996-10-18 00:00:00,,EPSG,,
8098,OSGB 1936 to WGS 84 (4),,,4277,4326,4,8498,1996-10-18 00:00:00,,EPSG,,
8099,OSGB 1936 to WGS 84 (5),,,4277,4326,5,8499,1996-10-18 00:00:00,,EPSG,,
8100,Pointe Noire to WGS 84 (1),,,4282,4326,1,8500,1996-10-18 00:00:00,,EPSG,,
8101,PSAD56 to WGS 84 (1),,,4248,4326,1,8501,1996-10-18 00:00:00,,EPSG,,
8102,PSAD56 to WGS 84 (2),,,4248,4326,2,8502,1996-10-18 00:00:00,,EPSG,,
8103,PSAD56 to WGS 84 (3),,,4248,4326,3,8503,1996-10-18 00:00:00,,EPSG,,
8104,PSAD56 to WGS 84 (4),,,4248,4326,4,8504,1996-10-18 00:00:00,,EPSG,,
8105,PSAD56 to WGS 84 (5),,,4248,4326,5,8505,1996-10-18 00:00:00,,EPSG,,
8106,PSAD56 to WGS 84 (6),,,4248,4326,6,8506,1996-10-18 00:00:00,,EPSG,,
8107,PSAD56 to WGS 84 (7),,,4248,4326,7,8507,1996-10-18 00:00:00,,EPSG,,
8108,PSAD56 to WGS 84 (8),,,4248,4326,8,8508,1996-10-18 00:00:00,,EPSG,,
8109,PSAD56 to WGS 84 (9),,,4248,4326,9,8509,1996-10-18 00:00:00,,EPSG,,
8110,Qatar to WGS 84 (1),,,4285,4326,1,8510,1996-10-18 00:00:00,,EPSG,,
8111,Qornoq to WGS 84 (1),,,4287,4326,1,8511,1996-10-18 00:00:00,,EPSG,,
8112,SAD69 to WGS 84 (1),,,4291,4326,1,8512,1996-10-18 00:00:00,,EPSG,,
8113,SAD69 to WGS 84 (2),,,4291,4326,2,8513,1996-10-18 00:00:00,,EPSG,,
8114,SAD69 to WGS 84 (3),,,4291,4326,3,8514,1996-10-18 00:00:00,,EPSG,,
8115,SAD69 to WGS 84 (4),,,4291,4326,4,8515,1996-10-18 00:00:00,,EPSG,,
8116,SAD69 to WGS 84 (5),,,4291,4326,5,8516,1996-10-18 00:00:00,,EPSG,,
8117,SAD69 to WGS 84 (6),,,4291,4326,6,8517,1996-10-18 00:00:00,,EPSG,,
8118,SAD69 to WGS 84 (7),,,4291,4326,7,8518,1996-10-18 00:00:00,,EPSG,,
8119,SAD69 to WGS 84 (8),,,4291,4326,8,8519,1996-10-18 00:00:00,,EPSG,,
8120,SAD69 to WGS 84 (9),,,4291,4326,9,8520,1996-10-18 00:00:00,,EPSG,,
8121,SAD69 to WGS 84 (10),,,4291,4326,10,8521,1996-10-18 00:00:00,,EPSG,,
8122,SAD69 to WGS 84 (11),,,4291,4326,11,8522,1996-10-18 00:00:00,,EPSG,,
8123,SAD69 to WGS 84 (12),,,4291,4326,12,8523,1996-10-18 00:00:00,,EPSG,,
8124,SAD69 to WGS 84 (13),,,4291,4326,13,8524,1996-10-18 00:00:00,,EPSG,,
8125,Sapper Hill 1943 to WGS 84 (1),,,4292,4326,1,8525,1996-10-18 00:00:00,,EPSG,,
8126,Schwarzeck to WGS 84 (1),,,4293,4326,1,8526,1996-10-18 00:00:00,,EPSG,,
8127,Tananarive to WGS 84 (1),,,4297,4326,1,8527,1996-10-18 00:00:00,,EPSG,,
8128,Timbalai 1948 to WGS 84 (1),,,4298,4326,1,8528,1996-10-18 00:00:00,,EPSG,,
8129,TM65 to WGS 84 (1),,,4299,4326,1,8529,1996-10-18 00:00:00,,EPSG,,
8130,Tokyo to WGS 84 (1),,,4301,4326,1,8530,1996-10-18 00:00:00,,EPSG,,
8131,Tokyo to WGS 84 (2),,,4301,4326,2,8531,1996-10-18 00:00:00,,EPSG,,
8132,Tokyo to WGS 84 (3),,,4301,4326,3,8532,1996-10-18 00:00:00,,EPSG,,
8133,Tokyo to WGS 84 (4),,,4301,4326,4,8533,1996-10-18 00:00:00,,EPSG,,
