"COORD_TRF_CODE","X-axis translation","Y-axis translation","Z-axis translation","X-axis rotation","Y-axis rotation","Z-axis rotation","Scale difference"
1100,-166.0,-15.0,204.0,,,,
1101,-118.0,-14.0,218.0,,,,
1102,-134.0,-2.0,210.0,,,,
1103,-165.0,-11.0,206.0,,,,
1104,-123.0,-20.0,220.0,,,,
1105,-128.0,-18.0,224.0,,,,
1106,-161.0,-14.0,205.0,,,,
1107,-43.0,-163.0,45.0,,,,
1108,-133.0,-48.0,148.0,,,,
1109,-134.0,-48.0,149.0,,,,
1110,-150.0,-250.0,-1.0,,,,
1111,-143.0,-236.0,7.0,,,,
1112,593.16,26.15,478.54,-6.3239,-0.5008,-5.5487,4.0775
1113,-143.0,-90.0,-294.0,,,,
1114,-138.0,-105.0,-289.0,,,,
1115,-153.0,-5.0,-292.0,,,,
1116,-125.0,-108.0,-295.0,,,,
1117,-161.0,-73.0,-317.0,,,,
1118,-134.0,-105.0,-295.0,,,,
1119,-169.0,-19.0,-278.0,,,,
1120,-147.0,-74.0,-283.0,,,,
1121,-142.0,-96.0,-293.0,,,,
1122,-160.0,-6.0,-302.0,,,,
1123,-377.0,681.0,-50.0,,,,
1124,-73.0,213.0,296.0,,,,
1125,307.0,304.0,-318.0,,,,
1126,-384.0,664.0,-48.0,,,,
1127,-148.0,136.0,90.0,,,,
1128,-136.0,-108.0,-292.0,,,,
1129,-134.73,-110.92,-292.66,,,,
1130,-263.0,6.0,431.0,,,,
1131,-134.0,229.0,-29.0,,,,
1132,-206.0,172.0,-6.0,,,,
1133,-87.0,-98.0,-121.0,,,,
1134,-87.0,-96.0,-120.0,,,,
1135,-103.0,-106.0,-141.0,,,,
1136,-104.0,-101.0,-140.0,,,,
1137,-130.0,-117.0,-151.0,,,,
1138,-86.0,-96.0,-120.0,,,,
1139,-87.0,-95.0,-120.0,,,,
1140,-84.0,-95.0,-130.0,,,,
1141,-117.0,-132.0,-164.0,,,,
1142,-97.0,-103.0,-120.0,,,,
1143,-97.0,-88.0,-135.0,,,,
1144,-107.0,-88.0,-149.0,,,,
1145,-84.0,-107.0,-120.0,,,,
1146,-82.981,-99.719,-110.709,-0.5076,0.1503,0.3898,-0.3143
1147,-1.51,-0.84,-3.5,-1.893,-0.687,-2.764,0.609
1148,-130.0,110.0,-13.0,,,,
1149,0.0,0.0,0.0,,,,
1150,0.0,0.0,0.0,,,,
1151,84.0,-22.0,209.0,,,,
1152,-637.0,-549.0,-203.0,,,,
1153,217.0,823.0,299.0,,,,
1154,209.0,818.0,290.0,,,,
1155,282.0,726.0,254.0,,,,
1156,295.0,736.0,257.0,,,,
1157,-97.0,787.0,86.0,,,,
1158,-11.0,851.0,5.0,,,,
1159,-130.0,29.0,364.0,,,,
1160,-90.0,40.0,88.0,,,,
1161,-133.0,-77.0,-51.0,,,,
1162,-133.0,-79.0,-72.0,,,,
1163,-74.0,-130.0,42.0,,,,
1164,41.0,-220.0,-134.0,,,,
1165,639.0,405.0,60.0,,,,
1166,31.0,146.0,47.0,,,,
1167,-81.0,-84.0,115.0,,,,
1168,-92.0,-93.0,122.0,,,,
1169,-225.0,-65.0,9.0,,,,
1170,-3.0,142.0,183.0,,,,
1171,0.0,125.0,194.0,,,,
1172,-10.0,158.0,187.0,,,,
1173,-8.0,160.0,176.0,,,,
1174,-9.0,161.0,179.0,,,,
1175,-8.0,159.0,175.0,,,,
1176,-5.0,135.0,172.0,,,,
1177,-4.0,154.0,178.0,,,,
1178,1.0,140.0,165.0,,,,
1179,-7.0,162.0,188.0,,,,
1180,-9.0,157.0,184.0,,,,
1181,-22.0,160.0,190.0,,,,
1182,4.0,159.0,188.0,,,,
1183,-7.0,139.0,181.0,,,,
1184,0.0,125.0,201.0,,,,
1185,-9.0,152.0,178.0,,,,
1186,11.0,114.0,195.0,,,,
1187,-12.0,130.0,190.0,,,,
1188,0.0,0.0,0.0,,,,
1189,-247.0,-148.0,369.0,,,,
1190,-243.0,-192.0,477.0,,,,
1191,-249.0,-156.0,381.0,,,,
1192,-10.0,375.0,165.0,,,,
1193,-168.0,-60.0,320.0,,,,
1195,375.0,-111.0,431.0,,,,
1196,371.0,-112.0,434.0,,,,
1197,371.0,-111.0,434.0,,,,
1198,384.0,-111.0,425.0,,,,
1199,370.0,-108.0,434.0,,,,
1200,-148.0,51.0,-291.0,,,,
1201,-288.0,175.0,-376.0,,,,
1202,-270.0,188.0,-388.0,,,,
1203,-270.0,183.0,-390.0,,,,
1204,-305.0,243.0,-442.0,,,,
1205,-282.0,169.0,-371.0,,,,
1206,-278.0,171.0,-367.0,,,,
1207,-298.0,159.0,-369.0,,,,
1208,-279.0,175.0,-379.0,,,,
1209,-295.0,173.0,-371.0,,,,
1210,-128.0,-283.0,22.0,,,,
1211,164.0,138.0,-189.0,,,,
1212,-57.0,1.0,-41.0,,,,
1213,-62.0,-1.0,-37.0,,,,
1214,-61.0,2.0,-48.0,,,,
1215,-60.0,-2.0,-41.0,,,,
1216,-75.0,-1.0,-44.0,,,,
1217,-44.0,6.0,-36.0,,,,
1218,-48.0,3.0,-44.0,,,,
1219,-47.0,26.0,-42.0,,,,
1220,-53.0,3.0,-47.0,,,,
1221,-61.0,2.0,-33.0,,,,
1222,-58.0,0.0,-44.0,,,,
1223,-45.0,12.0,-33.0,,,,
1224,-45.0,8.0,-33.0,,,,
1225,-355.0,21.0,72.0,,,,
1226,616.0,97.0,-251.0,,,,
1227,-189.0,-242.0,-91.0,,,,
1228,-679.0,669.0,-48.0,,,,
1229,506.0,-122.0,611.0,,,,
1230,-148.0,507.0,685.0,,,,
1231,-148.0,507.0,685.0,,,,
1232,-146.0,507.0,687.0,,,,
1233,-158.0,507.0,676.0,,,,
1234,-155.0,171.0,37.0,,,,
1235,-265.0,120.0,-358.0,,,,
1236,-116.0,-50.47,141.69,-0.23,-0.39,-0.344,0.0983
1237,0.0,0.0,4.5,0.0,0.0,0.554,0.2263
1238,0.0,0.0,4.5,0.0,0.0,0.554,0.219
1239,0.0,0.0,-2.6,0.0,0.0,0.26,-0.6063
1240,0.0,0.0,1.9,0.0,0.0,0.814,-0.38
1245,-112.0,-77.0,-145.0,,,,
1246,-333.0,-222.0,114.0,,,,
1247,283.0,682.0,231.0,,,,
1248,-24.0,-15.0,5.0,,,,
1249,-2.0,152.0,149.0,,,,
1250,2.0,204.0,105.0,,,,
1251,-2.0,0.0,4.0,,,,
1252,1.0,1.0,-1.0,,,,
1253,-186.0,-93.0,310.0,,,,
1254,28.0,-130.0,-95.0,,,,
1255,-123.0,-206.0,219.0,,,,
1256,-346.0,-1.0,224.0,,,,
1271,615.64,102.08,-255.81,,,,
1272,-199.87,74.79,246.62,,,,
1273,-56.0,75.77,15.31,-0.37,-0.2,-0.21,-1.01
1274,-40.595,-18.55,-69.339,2.508,1.832,-2.611,-4.299
1275,-84.0,-97.0,-117.0,,,,
1276,-84.0,37.0,437.0,,,,
1277,-168.0,-72.0,314.0,,,,
1278,-127.8,-52.3,152.9,,,,
1279,-128.5,-53.0,153.4,,,,
1280,-117.763,-51.51,139.061,-0.292,-0.443,-0.277,-0.191
1281,-419.375,-99.352,-591.349,0.850458,1.817245,-7.862245,0.99496
1282,-404.78,-685.68,-45.47,,,,
1283,0.0,0.0,0.0,,,,
1284,-157.0,-2.0,-299.0,,,,
1285,-175.0,-23.0,-303.0,,,,
1286,-403.0,684.0,41.0,,,,
1287,28.0,-121.0,-77.0,,,,
1288,23.0,-124.0,-82.0,,,,
1289,26.0,-121.0,-78.0,,,,
1290,24.0,-124.0,-82.0,,,,
1291,15.0,-130.0,-84.0,,,,
1292,24.0,-130.0,-92.0,,,,
1293,28.0,-121.0,-77.0,,,,
1294,-73.0,-247.0,227.0,,,,
1295,-0.465,372.095,171.736,,,,
1296,-61.702,284.488,472.052,,,,
1297,-115.064,-87.39,-101.716,0.058,-4.001,2.062,9.366
1298,-82.875,-57.097,-156.768,2.158,-1.524,0.982,-0.359
1299,-138.527,-91.999,-114.591,0.14,-3.363,2.217,11.748
1300,-73.472,-51.66,-112.482,-0.953,-4.6,2.368,0.586
1301,219.315,168.975,-166.145,-0.198,-5.926,2.356,-57.104
1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303,43.661,-103.342,-124.117,1.659,-0.824,0.653,0.59
1304,210.0,814.0,289.0,,,,
1305,-147.0,506.0,687.0,,,,
1306,682.0,-203.0,480.0,,,,
1307,-2.0,374.0,172.0,,,,
1308,0.9738,-1.9453,-0.5486,0.00000013357,0.00000004872,0.00000005507,0.0
1309,582.0,105.0,414.0,-1.04,-0.35,3.08,8.3
1310,24.0,-123.0,-94.0,-0.02,0.25,0.13,1.1
1311,-89.5,-93.8,-123.1,0.0,0.0,-0.156,1.2
1314,446.448,-125.157,542.06,0.15,0.247,0.842,-20.489
1315,535.948,-31.357,665.16,0.15,0.247,0.998,-21.689
1316,-70.9,-151.8,-41.4,,,,
1317,-37.2,-370.6,-228.5,,,,
1318,-42.01,-332.21,-229.75,,,,
1319,-40.0,-354.0,-224.0,,,,
1320,-37.2,-370.6,-224.0,0.0,0.0,0.554,0.219
1321,-42.5,-342.5,-228.1,,,,
1322,-55.5,-348.0,-229.2,,,,
1323,-43.0,-337.0,-233.0,,,,
1324,-48.0,-345.0,-231.0,,,,
1325,-48.6,-345.1,-230.8,,,,
1326,-41.057,-374.564,-226.287,0.0,0.0,0.554,0.219
1327,-50.9,-347.6,-231.0,,,,
1328,0.0,0.0,0.0,,,,
1329,-252.95,-4.11,-96.38,,,,
1330,-252.95,-4.11,-96.38,,,,
